
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 04:28:07 2024

Set parameter LogFile to value "gurobi_log/de_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0x8cf11bc0
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [2e+02, 2e+02]
  QObjective range [1e+01, 2e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 1428.0000000
Found heuristic solution: objective 424.0000000
Found heuristic solution: objective 383.0000000
Found heuristic solution: objective 359.0000000
Presolve time: 0.02s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)

Root relaxation: objective -2.253425e+03, 195 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 3791193 3099204 -1369.1424   88  133  306.00000 -1886.7037   717%  34.1  445s
 3844366 3141162 -1426.6476   94  130  306.00000 -1886.7037   717%  34.0  450s
 3897791 3185303 -1520.3575   94  144  306.00000 -1886.7037   717%  33.9  455s
 3935844 3215777 -1408.8089  102  136  306.00000 -1886.7037   717%  33.9  460s
 3987756 3256274   45.39474  111   35  306.00000 -1886.7037   717%  33.9  465s
 4038790 3297318 -1342.4006   85  145  306.00000 -1886.7037   717%  33.9  470s
 4087659 3336619 -1228.8362   67  147  306.00000 -1886.7037   717%  33.8  475s
 4121981 3363195 -1308.6868   87  128  306.00000 -1886.7037   717%  33.8  481s
 4155725 3393767 -1042.1757  101  108  306.00000 -1886.7037   717%  33.8  485s
 4211008 3439360 -906.20073   96  103  306.00000 -1886.7037   717%  33.8  490s
 4261284 3480607 -1527.4101   88  143  306.00000 -1886.7037   717%  33.8  495s
 4315280 3523688  127.02567  158   34  306.00000 -1886.7037   717%  33.7  500s
 4373073 3569944 -1528.9048   93  146  306.00000 -1886.7037   717%  33.7  505s
 4426230 3611901  242.58442  137   35  306.00000 -1886.7037   717%  33.6  510s
 4478895 3653866 -1441.1776   92  150  306.00000 -1886.7037   717%  33.6  515s
 4531527 3695370 -1419.2402   99  135  306.00000 -1886.7037   717%  33.5  520s
 4585127 3736866 -1407.2109  104  122  306.00000 -1886.7037   717%  33.5  525s
 4640133 3781794 -515.81445   84   60  306.00000 -1886.7037   717%  33.5  530s
 4693306 3827130 -1559.7422   76  149  306.00000 -1886.7037   717%  33.5  535s
 4748099 3871498 -1468.5575   77  142  306.00000 -1886.7037   717%  33.4  540s
 4803612 3918364 -1144.9399   74  130  306.00000 -1886.7037   717%  33.4  545s
 4855188 3960514 -1647.2895   74  155  306.00000 -1886.7037   717%  33.4  550s
 4913025 4006974 -1413.7526   90  127  306.00000 -1886.7037   717%  33.3  555s
 4961727 4045800 -1428.3511   88  137  306.00000 -1886.7037   717%  33.3  560s
 5011311 4084796  -96.19453   90   62  306.00000 -1886.7037   717%  33.3  565s
 5070847 4131858   85.20352  148   39  306.00000 -1886.7037   717%  33.3  570s
 5124560 4176416 -1459.2223   76  132  306.00000 -1886.7037   717%  33.2  575s
 5173329 4212350 -1062.6830   91  108  306.00000 -1886.7037   717%  33.2  580s
 5222533 4251826 -1373.4195   78  145  306.00000 -1886.7037   717%  33.2  585s
 5271150 4292516 -1429.2953   61  138  306.00000 -1886.7037   717%  33.2  590s
 5322643 4332544 -968.57658   89  106  306.00000 -1886.7037   717%  33.2  595s
 5377449 4379331 -687.78035  112   90  306.00000 -1886.7037   717%  33.2  600s
 5426824 4417451 -1317.6306   98  136  306.00000 -1886.7037   717%  33.1  605s
 5466799 4449724 -166.08253  123   54  306.00000 -1886.7037   717%  33.1  610s
 5489881 4465443  -64.83638  144   53  306.00000 -1886.7037   717%  33.1  615s
 5530645 4501717 -1532.2193  100  124  306.00000 -1886.7037   717%  33.1  620s
 5587217 4547319 -139.91896  139   43  306.00000 -1886.7037   717%  33.0  625s
 5644919 4593412 -1331.4159   91  127  306.00000 -1886.7037   717%  33.0  630s
 5700186 4637429 -1112.8714   79  114  306.00000 -1886.7037   717%  33.0  635s
 5760157 4682528 -1318.7529   79  138  306.00000 -1886.7037   717%  32.9  640s
