
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 20:32:21 2024

Set parameter LogFile to value "gurobi_log/de_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xc45c5b5e
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+02, 3e+02]
  QObjective range [6e+00, 3e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2754.0000000
Found heuristic solution: objective 601.0000000
Found heuristic solution: objective 521.0000000
Presolve time: 0.07s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.214791e+03, 290 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1990937 1765808 -2915.3232  114  185  403.00000 -2915.3232   823%  52.4  580s
 2012373 1785927 -2915.3232   72  253  403.00000 -2915.3232   823%  52.3  585s
 2027368 1799130 -2915.3232  116  229  403.00000 -2915.3232   823%  52.3  590s
 2046823 1816528 -2915.3232   79  277  403.00000 -2915.3232   823%  52.2  595s
 2066307 1832532 -2915.3232   78  309  403.00000 -2915.3232   823%  52.2  600s
 2083980 1851112 -2915.3232  113  271  403.00000 -2915.3232   823%  52.3  605s
 2101788 1865057 -2915.3232   86  225  403.00000 -2915.3232   823%  52.4  610s
 2120023 1881504 -2915.3232  136  214  403.00000 -2915.3232   823%  52.4  615s
 2141037 1899355 -2915.3232   86  298  403.00000 -2915.3232   823%  52.3  620s
 2158537 1914255 -2915.3232   85  261  403.00000 -2915.3232   823%  52.2  625s
 2178112 1930407 -2915.3232   76  270  403.00000 -2915.3232   823%  52.1  631s
 2193070 1945082 -2915.3232  111  194  403.00000 -2915.3232   823%  52.0  635s
 2217260 1965380 -2915.3232  101  270  403.00000 -2915.3232   823%  51.9  640s
 2241403 1988533 -2915.3232  124  250  403.00000 -2915.3232   823%  51.8  645s
 2262050 2006502 -2915.3232  106  247  403.00000 -2915.3232   823%  51.6  650s
 2283463 2025746 -2915.3232  148  175  403.00000 -2915.3232   823%  51.6  655s
 2304877 2044102 -2915.3232   93  311  403.00000 -2915.3232   823%  51.4  660s
 2325661 2062839 -2915.3232  118  177  403.00000 -2915.3232   823%  51.4  665s
 2348853 2082885 -2915.3232  126  201  403.00000 -2915.3232   823%  51.2  670s
 2370185 2100792 -2915.3232  173  130  403.00000 -2915.3232   823%  51.2  675s
 2391561 2121076 -2915.3232  110  236  403.00000 -2915.3232   823%  51.0  680s
 2409691 2136369 -2915.3232  115  171  403.00000 -2915.3232   823%  51.0  685s
 2432423 2155488 -2915.3232  110  145  403.00000 -2915.3232   823%  50.8  690s
 2454389 2176353 -2915.3232  120  214  403.00000 -2915.3232   823%  50.7  695s
 2470875 2190925 -2915.3232  119  204  403.00000 -2915.3232   823%  50.8  700s
 2495200 2211286 -2153.4232  188  112  403.00000 -2915.3232   823%  50.7  705s
 2516894 2231653 -2915.3232   88  301  403.00000 -2915.3232   823%  50.6  710s
 2538550 2250236 -2915.3232   73  274  403.00000 -2915.3232   823%  50.5  715s
 2552879 2262180 -2915.3232   87  242  403.00000 -2915.3232   823%  50.6  720s
 2572557 2285111 -2915.3232  121  158  403.00000 -2915.3232   823%  50.8  726s
 2593518 2300201 -2915.3232   84  243  403.00000 -2915.3232   823%  50.8  730s
 2615536 2318725 -2915.3232   82  260  403.00000 -2915.3232   823%  50.8  735s
 2631433 2333741 -2915.3232   99  279  403.00000 -2915.3232   823%  50.8  740s
 2650741 2351273 -2915.3232  113  235  403.00000 -2915.3232   823%  50.8  745s
 2668152 2363352 -2915.3232  100  211  403.00000 -2915.3232   823%  50.7  750s
 2685787 2379884 -1830.8771  118   90  403.00000 -2915.3232   823%  50.7  755s
 2709082 2399854 -2198.3629  166   93  403.00000 -2915.3232   823%  50.6  760s
 2728859 2418041 -2915.3232   97  199  403.00000 -2915.3232   823%  50.6  765s
 2745335 2430669 -2915.3232   80  289  403.00000 -2915.3232   823%  50.6  770s
 2767827 2449756 -2915.3232   59  267  403.00000 -2915.3232   823%  50.5  775s
 2787808 2469001 -1005.2152  206   77  403.00000 -2915.3232   823%  50.5  780s
 2808216 2486319 -2915.3232  165  165  403.00000 -2915.3232   823%  50.5  785s
 2828982 2503377 -2915.3232   72  270  403.00000 -2915.3232   823%  50.5  790s
 2842151 2517630 -2915.3232  128  203  403.00000 -2915.3232   823%  50.6  795s
 2864564 2535627 -1266.3970  199   76  403.00000 -2915.3232   823%  50.6  800s
 2887009 2554583 -2915.3232  131  160  403.00000 -2915.3232   823%  50.5  805s
 2904108 2570025 -2915.3232  108  234  403.00000 -2915.3232   823%  50.5  810s
 2925246 2586525 -2915.3232   80  260  403.00000 -2915.3232   823%  50.5  815s
 2939386 2600792 -2915.3232  150  130  403.00000 -2915.3232   823%  50.6  821s
 2958118 2617154 -2915.3232  137  121  403.00000 -2915.3232   823%  50.6  825s
 2978200 2634157 -2915.3232   72  230  403.00000 -2915.3232   823%  50.5  830s
 2993984 2648902 -2915.3232  105  231  403.00000 -2915.3232   823%  50.6  835s
 3016167 2667577 -2915.3232  110  156  403.00000 -2915.3232   823%  50.6  840s
 3035518 2686278 -2915.3232  110  235  403.00000 -2915.3232   823%  50.5  845s
 3057561 2703601 -2915.3232   99  245  403.00000 -2915.3232   823%  50.4  850s
 3075961 2719150 -2443.7789  151   89  403.00000 -2915.3232   823%  50.4  855s
 3095375 2737379 -2915.3232  187  129  403.00000 -2915.3232   823%  50.4  860s
 3111755 2751145 -2915.3232  102  260  403.00000 -2915.3232   823%  50.4  865s
 3141139 2776255 -2915.3232  132  217  403.00000 -2915.3232   823%  50.2  870s
 3162126 2795260 -2915.3232  120  195  403.00000 -2915.3232   823%  50.2  875s
 3182809 2813665 -2915.3232   78  247  403.00000 -2915.3232   823%  50.1  880s
 3201573 2829223 -2915.3232   62  238  403.00000 -2915.3232   823%  50.1  885s
 3222158 2848158 -2915.3232   84  272  403.00000 -2915.3232   823%  50.0  891s
 3243103 2865487 -2915.3232   95  256  403.00000 -2915.3232   823%  49.9  895s
 3260803 2881088 -2915.3232   97  197  403.00000 -2915.3232   823%  49.9  900s
 3283482 2900894 -2915.3232  109  199  403.00000 -2915.3232   823%  49.9  905s
 3306606 2920860 -2915.3232  177  143  403.00000 -2915.3232   823%  49.8  910s
 3325613 2936737 -2915.3232  113  233  403.00000 -2915.3232   823%  49.8  915s
 3344642 2951739 -2915.3232   69  300  403.00000 -2915.3232   823%  49.8  920s
 3347292 2951777 -2915.3232  103  212  403.00000 -2915.3232   823%  49.8  933s
 3350236 2955847 -2915.3232  143  128  403.00000 -2915.3232   823%  49.8  935s
 3368746 2973970 -2915.3232  118  271  403.00000 -2915.3232   823%  49.7  940s
