
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 23:40:18 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random15.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 225 columns and 0 nonzeros
Model fingerprint: 0xc509cc8e
Model has 6525 quadratic objective terms
Variable types: 0 continuous, 225 integer (225 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2940.0000000
Found heuristic solution: objective 712.0000000
Found heuristic solution: objective 498.0000000
Found heuristic solution: objective 445.0000000
Found heuristic solution: objective 444.0000000
Found heuristic solution: objective 409.0000000
Presolve time: 0.05s
Presolved: 0 rows, 225 columns, 0 nonzeros
Presolved model has 6525 quadratic objective terms
Variable types: 0 continuous, 225 integer (225 binary)
Found heuristic solution: objective 386.0000000

Root relaxation: objective -4.331011e+03, 234 iterations, 0.01 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 2311246 1944574 -1027.7605   96   83  320.00000 -3933.8094  1329%  37.1  690s
 2334099 1963395 -3933.8094   85  170  320.00000 -3933.8094  1329%  37.0  695s
 2356833 1982052 -1434.3700  127   64  320.00000 -3933.8094  1329%  37.0  701s
 2379787 2001380 -3933.8094  109  158  320.00000 -3933.8094  1329%  36.9  705s
 2399621 2018257 -2917.0148  104  121  320.00000 -3933.8094  1329%  36.9  710s
 2423224 2036521 -3933.8094   69  169  320.00000 -3933.8094  1329%  36.8  715s
 2443516 2053673 -3890.5244  117  148  320.00000 -3933.8094  1329%  36.8  720s
 2464932 2071161 -3734.4824   93  139  320.00000 -3933.8094  1329%  36.8  725s
 2484330 2088924 -1684.4026  162   80  320.00000 -3933.8094  1329%  36.8  730s
 2506530 2106652 -381.44913  160   63  320.00000 -3933.8094  1329%  36.7  735s
 2532784 2127524 -3933.8094  105  143  320.00000 -3933.8094  1329%  36.7  740s
 2556392 2147649 -3930.3883   81  157  320.00000 -3933.8094  1329%  36.7  745s
 2581311 2167502 -3933.8094  100  179  320.00000 -3933.8094  1329%  36.6  750s
 2601715 2182941 -2544.6452  106  113  320.00000 -3933.8094  1329%  36.6  755s
 2622835 2201176 -3933.8094   99  173  320.00000 -3933.8094  1329%  36.6  760s
 2651771 2223193 -3933.8094   72  171  320.00000 -3933.8094  1329%  36.5  765s
 2675528 2242963 -1870.9285  114   91  320.00000 -3933.8094  1329%  36.6  770s
 2696858 2260000 -3779.0433  116  146  320.00000 -3933.8094  1329%  36.5  775s
 2717483 2276810 -3892.3984   81  138  320.00000 -3933.8094  1329%  36.5  780s
 2737944 2293804 -3301.7635  113  131  320.00000 -3933.8094  1329%  36.5  785s
 2759596 2311277 -3933.8094   91  175  320.00000 -3933.8094  1329%  36.4  790s
 2781746 2329279 -3933.8094   86  197  320.00000 -3933.8094  1329%  36.4  795s
 2803968 2347446 -2718.5053  119  114  320.00000 -3933.8094  1329%  36.3  800s
 2823341 2363036 -3933.8094  101  169  320.00000 -3933.8094  1329%  36.3  805s
 2844112 2381544 -3933.8094   78  178  320.00000 -3933.8094  1329%  36.4  810s
 2869173 2402320 -3028.9299   95  108  320.00000 -3933.8094  1329%  36.3  815s
