
Gurobi 11.0.0 (linux64) logging started Fri Aug 23 03:42:54 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xa212863b
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3672.0000000
Found heuristic solution: objective 840.0000000
Found heuristic solution: objective 545.0000000
Presolve time: 0.14s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.172816e+03, 290 iterations, 0.05 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 2805216 2488158 -2919.7918  133  242  402.00000 -2919.7918   826%  40.9  940s
 2827500 2508436 -2919.7918   86  257  402.00000 -2919.7918   826%  40.9  945s
 2844870 2522844 -2919.7918   79  295  402.00000 -2919.7918   826%  40.8  951s
 2857147 2531533 -2919.7918   64  265  402.00000 -2919.7918   826%  40.8  955s
 2867361 2543925 -2919.7918   67  294  402.00000 -2919.7918   826%  41.0  960s
 2885349 2559845 -2919.7918  129  142  402.00000 -2919.7918   826%  40.9  965s
 2911488 2582887 -2919.7918   92  275  402.00000 -2919.7918   826%  40.9  970s
 2927010 2595916 -2919.7918   99  272  402.00000 -2919.7918   826%  40.9  975s
 2943942 2612295 -2919.7918   66  286  402.00000 -2919.7918   826%  40.8  980s
 2963988 2629419 -2919.7918   78  285  402.00000 -2919.7918   826%  40.8  985s
 2980340 2643369 -2919.7918   77  295  402.00000 -2919.7918   826%  40.8  990s
 3003537 2663306 -2919.7918   69  249  402.00000 -2919.7918   826%  40.7  995s
 3018217 2676051 -591.18015  265   40  402.00000 -2919.7918   826%  40.7 1000s
 3035210 2691259 -2919.7918  227  102  402.00000 -2919.7918   826%  40.7 1005s
 3055593 2710051 -2919.7918   71  288  402.00000 -2919.7918   826%  40.6 1010s
 3071388 2723883 -2919.7918   55  277  402.00000 -2919.7918   826%  40.6 1015s
 3090343 2741162 -2919.7918   82  255  402.00000 -2919.7918   826%  40.6 1020s
 3106167 2755431 -2919.7918  106  218  402.00000 -2919.7918   826%  40.5 1025s
 3124676 2771092 -2919.7918   62  253  402.00000 -2919.7918   826%  40.5 1030s
 3143195 2789355 -2919.7918  106  262  402.00000 -2919.7918   826%  40.6 1036s
 3159878 2800011 -2919.7918   67  246  402.00000 -2919.7918   826%  40.6 1040s
 3175523 2817518 -2919.7918   98  227  402.00000 -2919.7918   826%  40.7 1046s
 3189751 2829630 -2919.7918   61  307  402.00000 -2919.7918   826%  40.7 1050s
 3210504 2848229 -2919.7918  146  129  402.00000 -2919.7918   826%  40.6 1056s
 3228060 2862643 -2919.7918   78  211  402.00000 -2919.7918   826%  40.6 1060s
 3248420 2880429 -2919.7918   92  215  402.00000 -2919.7918   826%  40.5 1065s
 3264854 2895067 -2919.7918   85  303  402.00000 -2919.7918   826%  40.5 1070s
 3279361 2905274 -2919.7918   86  192  402.00000 -2919.7918   826%  40.5 1076s
 3291546 2918732 -2919.7918  155  160  402.00000 -2919.7918   826%  40.5 1080s
 3307246 2933876 -2919.7918  116  187  402.00000 -2919.7918   826%  40.5 1085s
 3324338 2948974  -48.53932  244   23  402.00000 -2919.7918   826%  40.5 1090s
 3340281 2963425 -2919.7918  109  203  402.00000 -2919.7918   826%  40.5 1095s
 3355100 2978085 -2919.7918  114  226  402.00000 -2919.7918   826%  40.5 1100s
 3377411 2997727 -2919.7918  114  262  402.00000 -2919.7918   826%  40.5 1106s
 3389893 3007588 -2919.7918   93  245  402.00000 -2919.7918   826%  40.5 1110s
 3401361 3015059 -2919.7918   93  255  402.00000 -2919.7918   826%  40.6 1130s
 3410954 3025619   86.39456  249   24  402.00000 -2919.7918   826%  40.7 1135s
 3422900 3038126 -2919.7918  118  253  402.00000 -2919.7918   826%  40.7 1140s
 3439183 3052309 -2919.7918  116  204  402.00000 -2919.7918   826%  40.7 1145s
 3457701 3068946 -2919.7918   74  278  402.00000 -2919.7918   826%  40.7 1150s
 3477229 3086307 -2233.0123  187   76  402.00000 -2919.7918   826%  40.7 1155s
 3495783 3101992 -2919.7918   68  303  402.00000 -2919.7918   826%  40.6 1160s
 3511500 3118314 -2919.7918   93  255  402.00000 -2919.7918   826%  40.7 1166s
 3530911 3134656 -2919.7918   95  265  402.00000 -2919.7918   826%  40.7 1171s
 3546508 3149063 -2919.7918  100  205  402.00000 -2919.7918   826%  40.6 1175s
 3558346 3159406 -2919.7918  202  111  402.00000 -2919.7918   826%  40.7 1180s
 3575787 3174933 -2919.7918   95  274  402.00000 -2919.7918   826%  40.8 1185s
 3592632 3190604 -2837.4673  201   94  402.00000 -2919.7918   826%  40.7 1190s
 3614491 3208440 -2919.7918   67  252  402.00000 -2919.7918   826%  40.7 1195s
 3622994 3217512 -2919.7918  116  195  402.00000 -2919.7918   826%  40.8 1201s
 3641151 3234034 -2919.7918  130  182  402.00000 -2919.7918   826%  40.8 1205s
 3662434 3251837 -2919.7918   68  280  402.00000 -2919.7918   826%  40.7 1210s
 3679630 3267602 -2919.7918   98  269  402.00000 -2919.7918   826%  40.8 1215s
 3695138 3281871 -2919.7918   80  254  402.00000 -2919.7918   826%  40.8 1220s
 3713189 3298937 -2531.6461  206   81  402.00000 -2919.7918   826%  40.8 1225s
 3732546 3315147 -2919.7918  169  140  402.00000 -2919.7918   826%  40.7 1230s
 3753655 3334136 -756.33633  218   47  402.00000 -2919.7918   826%  40.7 1235s
 3772465 3351172 -2919.7918   79  273  402.00000 -2919.7918   826%  40.7 1240s
 3791608 3368128 -2919.7918  166  162  402.00000 -2919.7918   826%  40.6 1245s
 3808621 3384591 -2919.7918   69  258  402.00000 -2919.7918   826%  40.6 1250s
 3824201 3393543 -417.36537  230   36  402.00000 -2919.7918   826%  40.6 1260s
 3833554 3405074 -2919.7918  114  154  402.00000 -2919.7918   826%  40.6 1265s
 3852829 3422728 -2919.7918  117  196  402.00000 -2919.7918   826%  40.5 1270s
 3868534 3436130 -2919.7918  102  195  402.00000 -2919.7918   826%  40.5 1275s
 3887987 3452537 -2919.7918   84  172  402.00000 -2919.7918   826%  40.5 1280s
 3906639 3468465 -2919.7918   65  304  402.00000 -2919.7918   826%  40.4 1285s
 3923652 3484144 -2919.7918   72  223  402.00000 -2919.7918   826%  40.4 1290s
 3942039 3500080 -2919.7918   62  298  402.00000 -2919.7918   826%  40.4 1295s
 3961785 3518147 -2919.7918   92  286  402.00000 -2919.7918   826%  40.4 1300s
 3977711 3531880 -2919.7918   79  281  402.00000 -2919.7918   826%  40.3 1305s
 3997659 3550836 -2919.7918   68  263  402.00000 -2919.7918   826%  40.3 1310s
 4020970 3570933 -2919.7918   70  282  402.00000 -2919.7918   826%  40.2 1315s
 4043778 3589585 -2919.7918  115  236  402.00000 -2919.7918   826%  40.2 1320s
 4062310 3607581 -2919.7918   71  269  402.00000 -2919.7918   826%  40.1 1325s
 4082891 3626223 -2919.7918  182  111  402.00000 -2919.7918   826%  40.1 1330s
 4091406 3635648 -2919.7918  125  203  402.00000 -2919.7918   826%  40.1 1335s
 4111861 3652278 -2919.7918   76  263  402.00000 -2919.7918   826%  40.0 1340s
 4132083 3669505 -2919.7918   87  103  402.00000 -2919.7918   826%  40.0 1345s
 4149872 3686824 -2919.7918   72  278  402.00000 -2919.7918   826%  40.1 1350s
 4169207 3701714 -2919.7918  166  123  402.00000 -2919.7918   826%  40.0 1355s
 4187376 3719052 -2919.7918  116  186  402.00000 -2919.7918   826%  40.0 1360s
 4204043 3733151 -2919.7918   86  217  402.00000 -2919.7918   826%  40.0 1365s
 4226872 3754725 -2919.7918   83  236  402.00000 -2919.7918   826%  40.0 1370s
 4246101 3770128 -2919.7918  178  103  402.00000 -2919.7918   826%  39.9 1375s
