
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 21:38:05 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0x16e538e7
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2996.0000000
Found heuristic solution: objective 516.0000000
Found heuristic solution: objective 398.0000000
Found heuristic solution: objective 395.0000000
Presolve time: 0.34s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Found heuristic solution: objective 351.0000000

Root relaxation: objective -2.078594e+03, 197 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 3913232 3093300 -1555.8883  109  100  306.00000 -1555.8883   608%  30.3  700s
 3943099 3116671 -1555.8883  103  115  306.00000 -1555.8883   608%  30.2  705s
 3971956 3137078 -1555.8883  104  124  306.00000 -1555.8883   608%  30.2  710s
 4003333 3161642 -1212.7336  143   61  306.00000 -1555.8883   608%  30.2  715s
 4031392 3183408 -533.38307  136   37  306.00000 -1555.8883   608%  30.2  720s
 4069134 3213012 -1149.4982  143   54  306.00000 -1555.8883   608%  30.2  725s
 4099089 3235023 -133.15626  123   35  306.00000 -1555.8883   608%  30.2  730s
 4128165 3256953 -1555.8883   96  122  306.00000 -1555.8883   608%  30.1  735s
 4149802 3274189 -1555.8883  109  121  306.00000 -1555.8883   608%  30.1  740s
 4175562 3293658 -1555.8883  104  111  306.00000 -1555.8883   608%  30.1  745s
 4198598 3311269 -1555.8883   80  135  306.00000 -1555.8883   608%  30.1  750s
 4215615 3324294 -1555.8883  127   76  306.00000 -1555.8883   608%  30.1  755s
 4236009 3340188 -1555.8883  102  123  306.00000 -1555.8883   608%  30.1  760s
 4258350 3355768 -1555.8883  121  145  306.00000 -1555.8883   608%  30.1  765s
 4274058 3367762 -1555.8883   83  117  306.00000 -1555.8883   608%  30.0  770s
 4299600 3387367 -1555.8883  102  118  306.00000 -1555.8883   608%  30.0  775s
 4316859 3398979 -1555.8883  103  108  306.00000 -1555.8883   608%  30.0  787s
 4323632 3407351 -1555.8883  104  116  306.00000 -1555.8883   608%  30.0  790s
 4346769 3424705 -1555.8883  107  123  306.00000 -1555.8883   608%  30.0  795s
 4369059 3441641 -1555.8883   90  124  306.00000 -1555.8883   608%  29.9  800s
 4390407 3457549 -1555.8883  105  128  306.00000 -1555.8883   608%  29.9  805s
 4410587 3474008 -1555.8883  101   91  306.00000 -1555.8883   608%  30.0  810s
 4427007 3485929 -1555.8883  122  120  306.00000 -1555.8883   608%  29.9  815s
 4444338 3499422 -1555.8883  119  121  306.00000 -1555.8883   608%  29.9  820s
 4461517 3513062 -1555.8883  111  100  306.00000 -1555.8883   608%  29.9  825s
 4481220 3528424 -1555.8883   96  123  306.00000 -1555.8883   608%  29.9  830s
 4507099 3548045 -1555.8883   91  116  306.00000 -1555.8883   608%  29.9  835s
 4535044 3569720 -1555.8883  115  113  306.00000 -1555.8883   608%  29.8  840s
 4570016 3595131 -1555.8883   93  112  306.00000 -1555.8883   608%  29.8  845s
 4606364 3622549 -1555.8883   98  131  306.00000 -1555.8883   608%  29.8  850s
 4644461 3651301     cutoff  102       306.00000 -1555.8883   608%  29.8  855s
 4683001 3681702 -1555.8883  105  100  306.00000 -1555.8883   608%  29.8  860s
 4717860 3708654 -1555.8883  120  133  306.00000 -1555.8883   608%  29.8  865s
 4759529 3741040 -1555.8883  123   89  306.00000 -1555.8883   608%  29.7  870s
 4794603 3767882 -1555.8883  113  107  306.00000 -1555.8883   608%  29.7  875s
 4826605 3793135 -1555.8883  116  129  306.00000 -1555.8883   608%  29.7  880s
 4866562 3823252 -1555.8883  106  115  306.00000 -1555.8883   608%  29.6  885s
 4898011 3848192 -802.20891  149   61  306.00000 -1555.8883   608%  29.7  890s
 4934005 3876247 -1555.8883  136   94  306.00000 -1555.8883   608%  29.6  895s
 4964291 3898258 -1555.8883   87  124  306.00000 -1555.8883   608%  29.6  900s
 4998312 3924547 -1555.8883  122   89  306.00000 -1555.8883   608%  29.6  905s
 5035901 3953447 -1555.8883   94  114  306.00000 -1555.8883   608%  29.6  910s
 5069880 3979780 -1555.8883   98  115  306.00000 -1555.8883   608%  29.5  915s
 5110302 4010916 -1555.8883  126   75  306.00000 -1555.8883   608%  29.5  920s
 5145503 4038552 -1555.8883  125  116  306.00000 -1555.8883   608%  29.5  925s
 5180480 4064919 -1555.8883   78  100  306.00000 -1555.8883   608%  29.5  930s
 5220378 4095606 -1555.8883   94  111  306.00000 -1555.8883   608%  29.5  935s
 5260651 4126950 -1555.8883   90  115  306.00000 -1555.8883   608%  29.5  940s
 5301280 4158260  211.05674  154   23  306.00000 -1555.8883   608%  29.5  945s
 5336989 4185180     cutoff  140       306.00000 -1555.8883   608%  29.4  950s
 5380165 4217381 -756.94223  138   45  306.00000 -1555.8883   608%  29.4  955s
 5418651 4245580 -246.40027  147   29  306.00000 -1555.8883   608%  29.4  960s
 5456285 4275498 -1555.8883  116  110  306.00000 -1555.8883   608%  29.4  965s
 5492491 4302678 -339.91174  148   42  306.00000 -1555.8883   608%  29.4  970s
 5529157 4329257 -1555.8883  102  105  306.00000 -1555.8883   608%  29.3  975s
 5562048 4354863 -1555.8883  162   72  306.00000 -1555.8883   608%  29.3  980s
 5602443 4386207 -1264.0467  132   50  306.00000 -1555.8883   608%  29.3  985s
 5641688 4415126 -1451.9378  138   74  306.00000 -1555.8883   608%  29.3  990s
 5662579 4428669 -1555.8883  112  127  306.00000 -1555.8883   608%  29.3  995s
 5692844 4453575 -1555.8883  116  119  306.00000 -1555.8883   608%  29.3 1000s
 5728756 4480645 -1555.8883  125   97  306.00000 -1555.8883   608%  29.3 1005s
 5762621 4507777 -1555.8883  106  131  306.00000 -1555.8883   608%  29.3 1010s
 5785887 4547212 -1555.8883   98  120  306.00000 -1555.8883   608%  29.2 1023s
 5817919 4547642     cutoff  165       306.00000 -1555.8883   608%  29.2 1029s
 5818629 4572404 -1555.8883  101  112  306.00000 -1555.8883   608%  29.2 1033s
 5858457 4581099 -1555.8883   97  133  306.00000 -1555.8883   608%  29.2 1035s
 5899776 4610406   42.98251  117   25  306.00000 -1555.8883   608%  29.2 1040s
 5937609 4640683 -1555.8883  125   91  306.00000 -1555.8883   608%  29.2 1045s
 5973969 4668603 -1555.8883   91  128  306.00000 -1555.8883   608%  29.1 1050s
 6015095 4699264 -1555.8883   87  121  306.00000 -1555.8883   608%  29.1 1055s
 6056122 4729878 -1555.8883  105  102  306.00000 -1555.8883   608%  29.1 1060s
 6094452 4758727 -1555.8883  115  103  306.00000 -1555.8883   608%  29.1 1065s
 6128494 4786328 -1555.8883  110   78  306.00000 -1555.8883   608%  29.1 1070s
 6168594 4815942 -498.04007  128   50  306.00000 -1555.8883   608%  29.1 1075s
 6208654 4846811 -1555.8883  114  120  306.00000 -1555.8883   608%  29.0 1080s
 6247647 4875326 -1555.8883  105   66  306.00000 -1555.8883   608%  29.0 1085s
 6286763 4904339 -1555.8883   92  112  306.00000 -1555.8883   608%  29.0 1090s
 6325469 4932331 -1555.8883  113   77  306.00000 -1555.8883   608%  29.0 1095s
 6366270 4963770 -1555.8883  113  123  306.00000 -1555.8883   608%  29.0 1100s
