
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 19:32:23 2024

Set parameter LogFile to value "gurobi_log/seg_penalty/gurobi_log/random13.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 169 columns and 0 nonzeros
Model fingerprint: 0x63932d53
Model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2912.0000000
Found heuristic solution: objective 836.0000000
Found heuristic solution: objective 638.0000000
Found heuristic solution: objective 441.0000000
Found heuristic solution: objective 417.0000000
Presolve time: 0.60s
Presolved: 0 rows, 169 columns, 0 nonzeros
Presolved model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)

Root relaxation: objective -2.325694e+03, 168 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 11343792 8200558 -1580.4571   82   67  375.00000 -2038.3091   644%  20.5 1147s
 11374081 8220763 -1840.8781   87   78  375.00000 -2038.3091   644%  20.4 1150s
 11456303 8279809 -2038.3091   95   79  375.00000 -2038.3091   644%  20.4 1155s
 11510862 8313888 -446.17985  104   44  375.00000 -2038.3091   644%  20.4 1161s
 11511209 8335599     cutoff  117       375.00000 -2038.3091   644%  20.4 1165s
 11578972 8362412 -1857.9978   84   76  375.00000 -2038.3091   644%  20.4 1170s
 11623848 8392246 -1974.4528   73   74  375.00000 -2038.3091   644%  20.4 1175s
 11660751 8416586 -1960.4097   94   81  375.00000 -2038.3091   644%  20.4 1180s
 11705721 8446492 -1741.0382   94   76  375.00000 -2038.3091   644%  20.4 1185s
 11754979 8478247   70.65507  124   28  375.00000 -2038.3091   644%  20.4 1190s
 11801726 8509609 -1920.8393   84   80  375.00000 -2038.3091   644%  20.3 1195s
 11839361 8534490 -1889.4715   94   92  375.00000 -2038.3091   644%  20.3 1200s
 11880463 8562112 -433.09458   80   52  375.00000 -2038.3091   644%  20.3 1205s
 11923065 8590368     cutoff  113       375.00000 -2038.3091   644%  20.3 1210s
 11961748 8616662 -1653.5584   80   77  375.00000 -2038.3091   644%  20.3 1215s
 12008410 8648708 -1081.8401  114   60  375.00000 -2038.3091   644%  20.3 1220s
 12036443 8666794 -1661.8669   96   73  375.00000 -2038.3091   644%  20.3 1225s
 12060141 8682772 -2032.3278   75   87  375.00000 -2038.3091   644%  20.3 1230s
 12085331 8700437 -1750.7812  104   72  375.00000 -2038.3091   644%  20.3 1235s
 12109143 8716791 -1838.1390   82   94  375.00000 -2038.3091   644%  20.3 1240s
 12132383 8733154 -1269.8934   86   69  375.00000 -2038.3091   644%  20.3 1245s
 12155756 8747233 -277.67040  111   52  375.00000 -2038.3091   644%  20.3 1250s
 12183359 8765966 -427.00846   79   36  375.00000 -2038.3091   644%  20.3 1255s
 12201204 8777771 -183.91960   85   54  375.00000 -2038.3091   644%  20.3 1260s
 12229235 8797354 -2038.3091   75   87  375.00000 -2038.3091   644%  20.2 1265s
 12252887 8812574 -1935.3451   82   87  375.00000 -2038.3091   644%  20.2 1270s
 12276437 8828681 -1349.6105   99   66  375.00000 -2038.3091   644%  20.2 1275s
 12298401 8843417 -1846.5480   74   67  375.00000 -2038.3091   644%  20.2 1280s
 12316428 8855223 -1856.0915   89   84  375.00000 -2038.3091   644%  20.2 1285s
