
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 20:35:12 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random16.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 256 columns and 0 nonzeros
Model fingerprint: 0x728dffb8
Model has 7936 quadratic objective terms
Variable types: 0 continuous, 256 integer (256 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3296.0000000
Found heuristic solution: objective 721.0000000
Found heuristic solution: objective 532.0000000
Found heuristic solution: objective 434.0000000
Found heuristic solution: objective 414.0000000
Presolve time: 0.04s
Presolved: 0 rows, 256 columns, 0 nonzeros
Presolved model has 7936 quadratic objective terms
Variable types: 0 continuous, 256 integer (256 binary)

Root relaxation: objective -3.374220e+03, 255 iterations, 0.03 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1533544 1344179 -2965.5573  167  111  304.00000 -2965.5573  1076%  47.3  585s
 1547903 1356832 -2965.5573  104  193  304.00000 -2965.5573  1076%  47.2  590s
 1564614 1369373 -1188.8537  101   71  304.00000 -2965.5573  1076%  47.2  595s
 1582074 1383845 -887.61709  167   43  304.00000 -2965.5573  1076%  47.1  600s
 1596061 1396713 -2965.5573   98  154  304.00000 -2965.5573  1076%  47.2  605s
 1608079 1408912 -2965.5573   84  166  304.00000 -2965.5573  1076%  47.3  610s
 1625959 1424267 -2965.5573   91  232  304.00000 -2965.5573  1076%  47.2  615s
 1644511 1439772 -2965.5573   72  260  304.00000 -2965.5573  1076%  47.1  620s
 1663774 1457779 -2965.5573   58  240  304.00000 -2965.5573  1076%  46.9  625s
 1677892 1470140 -2965.5573  153  111  304.00000 -2965.5573  1076%  46.8  630s
 1696452 1485268 -2434.9096   73   81  304.00000 -2965.5573  1076%  46.8  635s
 1714935 1502069 -2965.5573   59  246  304.00000 -2965.5573  1076%  46.7  640s
 1731268 1513802 -2965.5573  106  176  304.00000 -2965.5573  1076%  46.6  645s
 1753199 1534230 -2965.5573  114  246  304.00000 -2965.5573  1076%  46.4  650s
 1766184 1544614 -2965.5573   69  148  304.00000 -2965.5573  1076%  46.4  655s
 1783551 1561378 -2965.5573   73  259  304.00000 -2965.5573  1076%  46.5  660s
 1798295 1575037 -2965.5573  151  100  304.00000 -2965.5573  1076%  46.4  665s
 1814191 1588226 -2965.5573   84  247  304.00000 -2965.5573  1076%  46.4  670s
 1832167 1603486 -2965.5573   96  254  304.00000 -2965.5573  1076%  46.3  675s
 1850376 1618504 -2965.5573   67  238  304.00000 -2965.5573  1076%  46.2  680s
 1869221 1636738 -2965.5573   80  223  304.00000 -2965.5573  1076%  46.0  686s
 1886440 1653121 -2965.5573   63  200  304.00000 -2965.5573  1076%  45.9  691s
 1902941 1664944 -2965.5573   75  263  304.00000 -2965.5573  1076%  45.8  695s
 1918165 1680702 -2965.5573   97  187  304.00000 -2965.5573  1076%  45.7  700s
 1936873 1693965 -2965.5573   64  263  304.00000 -2965.5573  1076%  45.6  705s
 1953680 1709608 -2965.5573   94  241  304.00000 -2965.5573  1076%  45.6  710s
 1976183 1729666 -2965.5573   76  245  304.00000 -2965.5573  1076%  45.4  715s
 1991339 1744749 -2965.5573   69  254  304.00000 -2965.5573  1076%  45.5  721s
 2009882 1760707 -2965.5573   86  215  304.00000 -2965.5573  1076%  45.5  726s
 2027317 1776055 -2965.5573   71  237  304.00000 -2965.5573  1076%  45.4  730s
 2045844 1790773 -2965.5573   87  233  304.00000 -2965.5573  1076%  45.3  735s
 2058923 1803048 -2965.5573  148  112  304.00000 -2965.5573  1076%  45.4  740s
 2075423 1816993 -2965.5573   76  263  304.00000 -2965.5573  1076%  45.4  745s
 2090910 1831676 -2965.5573  125  152  304.00000 -2965.5573  1076%  45.5  750s
 2114439 1851142 -2965.5573   88  159  304.00000 -2965.5573  1076%  45.4  755s
 2139716 1873551 -2965.5573   82  220  304.00000 -2965.5573  1076%  45.3  760s
 2160679 1892603 -2965.5573  130  123  304.00000 -2965.5573  1076%  45.2  765s
 2176767 1906114 -2957.4708  149  111  304.00000 -2965.5573  1076%  45.3  771s
 2195181 1921936 -2965.5573  105  207  304.00000 -2965.5573  1076%  45.2  775s
 2209211 1933161 -2965.5573   64  254  304.00000 -2965.5573  1076%  45.1  780s
 2222799 1942910 -1332.3627  169   54  304.00000 -2965.5573  1076%  45.1  796s
 2235291 1957609 -2965.5573  115  141  304.00000 -2965.5573  1076%  45.0  800s
 2255228 1973923 -2965.5573   74  229  304.00000 -2965.5573  1076%  44.9  805s
 2274233 1990340 -2965.5573   81  197  304.00000 -2965.5573  1076%  44.8  810s
 2287024 1999119 -1974.4115  173   84  304.00000 -2965.5573  1076%  44.8  816s
 2300096 2013916 -2965.5573  110  140  304.00000 -2965.5573  1076%  44.7  821s
 2313883 2025513 -2965.5573  125  159  304.00000 -2965.5573  1076%  44.7  825s
