
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 03:25:26 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random13.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 169 columns and 0 nonzeros
Model fingerprint: 0x63932d53
Model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2912.0000000
Found heuristic solution: objective 836.0000000
Found heuristic solution: objective 638.0000000
Found heuristic solution: objective 441.0000000
Found heuristic solution: objective 417.0000000
Presolve time: 0.25s
Presolved: 0 rows, 169 columns, 0 nonzeros
Presolved model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)

Root relaxation: objective -2.325694e+03, 168 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 8681554 6384368 -2038.3091   85   81  375.00000 -2038.3091   644%  21.2  445s
 8757176 6435496 -2038.3091  110   77  375.00000 -2038.3091   644%  21.2  450s
 8859255 6504835 -259.86000  127   40  375.00000 -2038.3091   644%  21.1  455s
 8978887 6586172   87.47827  115   40  375.00000 -2038.3091   644%  21.1  460s
 9099918 6670871 -2038.3091   71   87  375.00000 -2038.3091   644%  21.1  465s
 9221037 6754629 -2038.3091   76   81  375.00000 -2038.3091   644%  21.0  470s
 9349320 6843608 -2038.3091   87   83  375.00000 -2038.3091   644%  21.0  475s
 9467030 6923946 -1756.2054   80   77  375.00000 -2038.3091   644%  21.0  480s
 9591469 7009809 -1990.9753   72   86  375.00000 -2038.3091   644%  20.9  485s
 9714923 7094241 -149.68534  127   25  375.00000 -2038.3091   644%  20.9  490s
 9839007 7179603 -1835.2120  100   76  375.00000 -2038.3091   644%  20.8  495s
 9935022 7243702     cutoff   98       375.00000 -2038.3091   644%  20.8  500s
 10042609 7319255  -16.62444  108   28  375.00000 -2038.3091   644%  20.8  505s
 10168390 7403848 -506.72177  106   42  375.00000 -2038.3091   644%  20.8  510s
 10287978 7484591 -1908.7071   85   81  375.00000 -2038.3091   644%  20.7  515s
 10408632 7566321     cutoff  101       375.00000 -2038.3091   644%  20.7  520s
 10532909 7651878 -2038.3091   66   83  375.00000 -2038.3091   644%  20.7  525s
 10657378 7736628 -1831.1012   94   86  375.00000 -2038.3091   644%  20.6  530s
 10778702 7817002 -1300.9801   80   78  375.00000 -2038.3091   644%  20.6  535s
 10892832 7895504 -1089.7923  104   53  375.00000 -2038.3091   644%  20.6  540s
 11010488 7974843 -1562.1536   73   96  375.00000 -2038.3091   644%  20.5  545s
 11121556 8050812 -379.04262   96   43  375.00000 -2038.3091   644%  20.5  550s
 11241512 8133348 -1625.6996  103   66  375.00000 -2038.3091   644%  20.5  555s
 11343792 8200558 -1580.4571   82   67  375.00000 -2038.3091   644%  20.5  561s
 11419485 8253902   -8.41725  121   23  375.00000 -2038.3091   644%  20.4  565s
 11510862 8313888 -446.17985  104   44  375.00000 -2038.3091   644%  20.4  570s
 11620502 8390242     cutoff  126       375.00000 -2038.3091   644%  20.4  575s
 11744286 8470911 -1130.4166   97   71  375.00000 -2038.3091   644%  20.4  580s
 11873466 8557690 -2038.3091  103   74  375.00000 -2038.3091   644%  20.3  585s
 12002190 8644083 -1991.1463   77   77  375.00000 -2038.3091   644%  20.3  590s
 12119035 8723011  118.28954  104   43  375.00000 -2038.3091   644%  20.3  595s
 12242467 8805947 -2038.3091  102   92  375.00000 -2038.3091   644%  20.2  600s
 12371731 8891512 -1361.0793  102   59  375.00000 -2038.3091   644%  20.2  605s
 12492949 8973878  141.28742  110   30  375.00000 -2038.3091   644%  20.2  610s
 12605341 9047604 -1424.3088   91   64  375.00000 -2038.3091   644%  20.2  615s
 12700922 9110852 -2038.3091   93   77  375.00000 -2038.3091   644%  20.1  620s
 12810841 9182566 -743.22247  118   51  375.00000 -2038.3091   644%  20.1  625s
