
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 22:35:56 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xa212863b
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3672.0000000
Found heuristic solution: objective 840.0000000
Found heuristic solution: objective 545.0000000
Presolve time: 0.05s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.172816e+03, 290 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 5904962 5236791 -2919.7918   82  267  402.00000 -2919.7918   826%  39.3  905s
 5943988 5272107 -2919.7918   72  272  402.00000 -2919.7918   826%  39.3  910s
 5984982 5305687 -2919.7918   75  226  402.00000 -2919.7918   826%  39.3  915s
 6029313 5348437 -2919.7918   87  254  402.00000 -2919.7918   826%  39.2  920s
 6071576 5384663  260.87242  232   25  402.00000 -2919.7918   826%  39.2  925s
 6109314 5418793 -2919.7918  139  159  402.00000 -2919.7918   826%  39.2  930s
 6148495 5454202 -2919.7918  197  142  402.00000 -2919.7918   826%  39.2  935s
 6190895 5491947 -2919.7918  109  201  402.00000 -2919.7918   826%  39.2  940s
 6229798 5527799 -2919.7918   95  242  402.00000 -2919.7918   826%  39.1  945s
 6263506 5558304 -2919.7918  113  234  402.00000 -2919.7918   826%  39.1  950s
 6311295 5598126 -2919.7918   80  301  402.00000 -2919.7918   826%  39.1  955s
 6346771 5630642 -2919.7918   80  263  402.00000 -2919.7918   826%  39.0  960s
 6379755 5659143 -2919.7918   64  230  402.00000 -2919.7918   826%  39.0  965s
 6425576 5699119 -2919.7918  134  205  402.00000 -2919.7918   826%  38.9  970s
 6467673 5737148 -2919.7918  166  158  402.00000 -2919.7918   826%  38.9  975s
 6505104 5771848 -2919.7918  100  255  402.00000 -2919.7918   826%  38.9  980s
 6543409 5804266 -2919.7918   71  263  402.00000 -2919.7918   826%  38.8  985s
 6579706 5832950 -2919.7918   76  278  402.00000 -2919.7918   826%  38.8  999s
 6583540 5838872 -2919.7918   67  258  402.00000 -2919.7918   826%  38.8 1000s
 6623783 5875002 -2919.7918   85  255  402.00000 -2919.7918   826%  38.8 1005s
 6660218 5908166 -2919.7918   86  278  402.00000 -2919.7918   826%  38.8 1010s
 6693805 5937962 -2919.7918   78  261  402.00000 -2919.7918   826%  38.8 1015s
 6731446 5967947 -2919.7918   79  267  402.00000 -2919.7918   826%  38.8 1020s
 6772460 6004649 -2919.7918  112  188  402.00000 -2919.7918   826%  38.8 1025s
 6810830 6039487 -2919.7918   79  270  402.00000 -2919.7918   826%  38.8 1030s
 6852963 6074225 -2919.7918  114  229  402.00000 -2919.7918   826%  38.7 1035s
 6892556 6111007 -2919.7918   65  265  402.00000 -2919.7918   826%  38.7 1040s
 6929291 6142981 -2919.7918   89  231  402.00000 -2919.7918   826%  38.7 1045s
 6967459 6176331 -2919.7918   67  282  402.00000 -2919.7918   826%  38.7 1050s
 7005513 6215051 -2919.7918   95  199  402.00000 -2919.7918   826%  38.7 1055s
 7044511 6243083 -2919.7918   99  238  402.00000 -2919.7918   826%  38.7 1060s
 7078042 6273780 -2919.7918   79  268  402.00000 -2919.7918   826%  38.7 1065s
 7121588 6312241 -2919.7918   69  224  402.00000 -2919.7918   826%  38.6 1070s
 7163072 6347603 -2919.7918   73  156  402.00000 -2919.7918   826%  38.6 1075s
 7196831 6376845 -2919.7918   78  250  402.00000 -2919.7918   826%  38.6 1080s
 7232583 6410691 -2919.7918  114  227  402.00000 -2919.7918   826%  38.7 1085s
 7262781 6438850 -2919.7918  104  236  402.00000 -2919.7918   826%  38.7 1090s
 7311569 6479714 -2919.7918   79  225  402.00000 -2919.7918   826%  38.7 1095s
 7348304 6512579 -2919.7918   77  195  402.00000 -2919.7918   826%  38.7 1100s
 7385036 6544543 -2919.7918   67  273  402.00000 -2919.7918   826%  38.7 1105s
 7428995 6583268 -2919.7918   83  282  402.00000 -2919.7918   826%  38.7 1110s
 7473787 6622215 -2919.7918   62  264  402.00000 -2919.7918   826%  38.6 1115s
 7513649 6658064 -2919.7918   73  261  402.00000 -2919.7918   826%  38.6 1120s
 7554819 6695531 -2919.7918   94  240  402.00000 -2919.7918   826%  38.6 1125s
 7591259 6728584 -2919.7918  120  225  402.00000 -2919.7918   826%  38.5 1130s
 7630659 6763349 -2919.7918   90  282  402.00000 -2919.7918   826%  38.6 1135s
 7675239 6801748 -2919.7918  134  207  402.00000 -2919.7918   826%  38.6 1140s
 7721017 6841413 -2919.7918  175  106  402.00000 -2919.7918   826%  38.5 1145s
 7761472 6877698 -2919.7918  109  226  402.00000 -2919.7918   826%  38.5 1150s
 7804130 6915139 -2919.7918   84  251  402.00000 -2919.7918   826%  38.4 1155s
